R0,VE,coverage,chance50,chance95
9,0.6,1,61.2233333333334,261.686333333344
10,0.6,1,46.6266666666488,196.233333333302
5,0.7,1,670.30999999959,3078.85599999996
6,0.7,1,464.050000000047,1963.95599999995
7,0.7,1,296.983333333337,1359.01016666666
8,0.7,1,230.243333333172,1013.19199999997
9,0.7,1,172.776666666672,744.396666666726
10,0.7,1,128.791666666657,548.161500000092
5,0.8,1,4710.30833333338,18925.0791666666
6,0.8,1,4532.71666666667,17720.5020000001
7,0.8,1,2026.40666666663,9471.34166666662
8,0.8,1,1251.68333333333,5583.80266666668
9,0.8,1,1168.43666666653,4877.88800000008
10,0.8,1,1078.39333333331,4697.03000000003
5,0.9,1,31278.58,147073.026666666
6,0.9,1,29470.25,105426.968666667
7,0.9,1,19815.0483333331,88471.2965000003
8,0.9,1,32177.4133333331,130753.895
9,0.9,1,19733.8833333333,83991.9566666673
10,0.9,1,16520.4166666665,68810.5159999996
3,0,0.1,16.3600000000442,70.4433333333291
3,0,0.2,15.679999999993,69.5220000000372
3,0,0.3,15.6333333333314,68.3300000000127
3,0,0.4,16.6133333333419,70.9463333333295
3,0,0.5,16.3550000000032,70.6821666666743
3,0,0.6,16.4483333333301,71.2871666666832
3,0,0.7,15.911666666665,70.2473333333386
3,0,0.8,16.289999999979,70.2746666666702
3,0,0.9,16.5699999999997,72.3083333333314
3,0,1,16.5100000000093,71.8980000000069
