R0,VE,coverage,traveller_ob_prob,worker_ob_prob
7,0.6,0.6,0.00942,0.12243
8,0.6,0.6,0.00988,0.13726
9,0.6,0.6,0.01111,0.14194
10,0.6,0.6,0.01378,0.15298
5,0.7,0.6,0.00438,0.07697
6,0.7,0.6,0.00425,0.0827
7,0.7,0.6,0.00708,0.09657
8,0.7,0.6,0.00687,0.1103
9,0.7,0.6,0.00865,0.11745
10,0.7,0.6,0.01003,0.12824
5,0.8,0.6,0.00195,0.04584
6,0.8,0.6,0.0025,0.05208
7,0.8,0.6,0.0024,0.06705
8,0.8,0.6,0.00553,0.07521
9,0.8,0.6,0.00485,0.08371
10,0.8,0.6,0.00509,0.08923
5,0.9,0.6,0.00099,0.0182
6,0.9,0.6,0.00083,0.02679
7,0.9,0.6,0.00181,0.02747
8,0.9,0.6,0.00149,0.03076
9,0.9,0.6,0.0018,0.04478
10,0.9,0.6,0.00221,0.04734
5,0.5,0.7,0.00653,0.11131
6,0.5,0.7,0.01028,0.12625
7,0.5,0.7,0.01039,0.1409
8,0.5,0.7,0.01401,0.14818
9,0.5,0.7,0.01575,0.16236
10,0.5,0.7,0.01581,0.17113
5,0.6,0.7,0.00633,0.08774
6,0.6,0.7,0.00632,0.10521
7,0.6,0.7,0.00854,0.11522
8,0.6,0.7,0.00914,0.12631
9,0.6,0.7,0.01081,0.13048
10,0.6,0.7,0.01261,0.14212
5,0.7,0.7,0.00362,0.06611
6,0.7,0.7,0.00391,0.07355
7,0.7,0.7,0.00547,0.08669
8,0.7,0.7,0.0055,0.10171
9,0.7,0.7,0.00802,0.10485
10,0.7,0.7,0.00906,0.11564
5,0.8,0.7,0.00148,0.03838
6,0.8,0.7,0.00187,0.04354
7,0.8,0.7,0.00181,0.05703
8,0.8,0.7,0.00475,0.06248
9,0.8,0.7,0.00379,0.07335
10,0.8,0.7,0.00453,0.07738
5,0.9,0.7,0.00071,0.0145
6,0.9,0.7,0.00085,0.02125
7,0.9,0.7,0.00144,0.02146
8,0.9,0.7,0.00138,0.02444
9,0.9,0.7,0.00157,0.03526
10,0.9,0.7,0.00166,0.03767
5,0.5,0.8,0.00611,0.102
6,0.5,0.8,0.00908,0.12049
7,0.5,0.8,0.00972,0.1316
8,0.5,0.8,0.01377,0.14014
9,0.5,0.8,0.0152,0.1527
10,0.5,0.8,0.0151,0.16168
5,0.6,0.8,0.00473,0.07789
6,0.6,0.8,0.00578,0.09497
7,0.6,0.8,0.00822,0.10212
8,0.6,0.8,0.00853,0.11666
9,0.6,0.8,0.00953,0.12137
10,0.6,0.8,0.01129,0.13237
5,0.7,0.8,0.00281,0.05666
6,0.7,0.8,0.00305,0.06264
7,0.7,0.8,0.00491,0.07579
8,0.7,0.8,0.00535,0.08792
9,0.7,0.8,0.00664,0.0906
10,0.7,0.8,0.00852,0.10269
5,0.8,0.8,0.00109,0.02912
6,0.8,0.8,0.00165,0.03326
7,0.8,0.8,0.00188,0.04383
8,0.8,0.8,0.00353,0.04864
9,0.8,0.8,0.00312,0.05864
10,0.8,0.8,0.00361,0.06309
5,0.9,0.8,0.00062,0.01125
6,0.9,0.8,0.00069,0.01576
7,0.9,0.8,0.00094,0.01629
8,0.9,0.8,0.00117,0.01665
9,0.9,0.8,0.00089,0.0264
10,0.9,0.8,0.00152,0.02616
5,0.5,0.9,0.00566,0.09435
6,0.5,0.9,0.00838,0.10992
7,0.5,0.9,0.0093,0.12437
8,0.5,0.9,0.01292,0.13125
9,0.5,0.9,0.01354,0.14442
10,0.5,0.9,0.01378,0.15459
5,0.6,0.9,0.00445,0.06777
6,0.6,0.9,0.00497,0.08356
7,0.6,0.9,0.00711,0.09339
8,0.6,0.9,0.00741,0.10469
9,0.6,0.9,0.00859,0.1083
10,0.6,0.9,0.01017,0.12034
5,0.7,0.9,0.00205,0.04166
6,0.7,0.9,0.00264,0.04783
7,0.7,0.9,0.00423,0.05987
8,0.7,0.9,0.004,0.07197
9,0.7,0.9,0.00524,0.07771
10,0.7,0.9,0.00733,0.08708
5,0.8,0.9,0.00061,0.01823
6,0.8,0.9,0.00095,0.02143
7,0.8,0.9,0.00086,0.03054
8,0.8,0.9,0.00258,0.0334
9,0.8,0.9,0.00228,0.04209
10,0.8,0.9,0.00251,0.0438
5,0.9,0.9,0.00029,0.00641
6,0.9,0.9,6e-04,0.00978
7,0.9,0.9,0.00072,0.00999
8,0.9,0.9,6e-04,0.00986
9,0.9,0.9,0.00078,0.01598
10,0.9,0.9,0.00068,0.01687
5,0.5,1,0.00489,0.08562
6,0.5,1,0.0078,0.09976
7,0.5,1,0.00837,0.11414
8,0.5,1,0.01135,0.11899
9,0.5,1,0.01262,0.13276
10,0.5,1,0.01261,0.14036
5,0.6,1,0.00376,0.05556
6,0.6,1,0.00389,0.07031
7,0.6,1,0.0059,0.07682
8,0.6,1,0.00673,0.0899
9,0.6,1,0.00721,0.09538
10,0.6,1,0.00819,0.10372
5,0.7,1,0.00119,0.02781
6,0.7,1,0.00149,0.032
7,0.7,1,0.00287,0.04124
8,0.7,1,0.0027,0.05061
9,0.7,1,0.00392,0.05546
10,0.7,1,0.00464,0.06447
5,0.8,1,0.00038,0.00854
6,0.8,1,0.00025,0.00903
7,0.8,1,0.00044,0.01367
8,0.8,1,0.00113,0.01493
9,0.8,1,0.00104,0.01924
10,0.8,1,0.00099,0.02068
5,0.9,1,0.00014,0.00212
6,0.9,1,0.00014,0.00335
7,0.9,1,2e-04,0.00269
8,0.9,1,0.00012,0.00259
9,0.9,1,0.00019,0.00438
10,0.9,1,3e-04,0.00425
10,0.9,0.1,0.0044,0.08716
10,0.9,0.2,0.00361,0.0796
10,0.9,0.3,0.00363,0.07439
10,0.9,0.4,0.00316,0.06495
10,0.9,0.5,0.00296,0.05812
10,0.9,0.6,0.00225,0.04721
10,0.9,0.7,0.00159,0.03754
10,0.9,0.8,0.00116,0.02667
10,0.9,0.9,0.00085,0.01606
10,0.9,1,0.00023,0.00451
3,0,0.1,0.01288,0.15665
3,0,0.2,0.013,0.15834
3,0,0.3,0.01381,0.15535
3,0,0.4,0.01258,0.15782
3,0,0.5,0.01268,0.15765
3,0,0.6,0.01273,0.15556
3,0,0.7,0.01311,0.15772
3,0,0.8,0.01266,0.1577
3,0,0.9,0.0122,0.15787
3,0,1,0.01209,0.15931
